ts,provider,op,model,units,unit_cost_usd,cost_usd,cumulative_usd,label,note
2026-09-03T17:28:38Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.0015,still_c16_regen,identity fix
2026-09-03T17:28:38Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.0215,still_c17_regen,identity fix
2026-09-03T17:58:48Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.0415,still_c28_r1,
2026-09-03T17:58:48Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.0615,still_c31_r1,
2026-09-03T17:58:48Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.0815,still_c38_r1,
2026-09-03T17:58:48Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.1015,still_c39_r1,
2026-09-03T17:58:48Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.1215,still_c41_r1,
2026-09-03T17:58:48Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.1415,still_c47_r1,
2026-09-03T17:58:48Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.1615,still_c51_r1,
2026-09-03T17:58:48Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.1815,still_c54_r1,
2026-09-03T17:58:48Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.2015,still_c58_r1,
2026-09-03T17:58:48Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.2215,still_c59_r1,
2026-09-03T17:58:48Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.2415,still_c62_r1,
2026-09-03T17:58:49Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.2615,still_c64_r1,
2026-09-03T17:58:49Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,1.3115,clip_sh02_rc1,480p 9:16 no audio
2026-09-03T17:58:49Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,1.3615,clip_sh04_rc1,480p 9:16 no audio
2026-09-03T17:58:49Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,1.4115,clip_sh05_rc1,480p 9:16 no audio
2026-09-03T17:58:49Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,1.4615,clip_sh06_rc1,480p 9:16 no audio
2026-09-03T17:58:49Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,1.5115,clip_sh07_rc1,480p 9:16 no audio
2026-09-03T17:58:49Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,1.5615,clip_sh11_rc1,480p 9:16 no audio
2026-09-03T17:58:49Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,1.6115,clip_sh12_rc1,480p 9:16 no audio
2026-09-03T17:58:49Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,1.6615,clip_sh15_rc1,480p 9:16 no audio
2026-09-03T17:58:49Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,1.7115,clip_sh16_rc1,480p 9:16 no audio
2026-09-03T18:50:33Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.7315,still_c68_r1,
2026-09-03T18:50:33Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.7515,still_c70_r1,
2026-09-03T18:50:33Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.7715,still_c72_r1,
2026-09-03T18:50:33Z,higgsfield,image,nano_banana_pro,2.0,0.01,0.02,1.7915,still_c77_r1,
2026-09-03T18:50:33Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,1.8415,clip_sh01_rc1,480p 9:16 no audio
2026-09-03T18:52:22Z,higgsfield,video,seedance_2_0_mini,8.0,0.01,0.08,1.9215,clip_sh03_rc1,480p 9:16 no audio
2026-09-03T18:52:22Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,1.9715,clip_sh08_rc1,480p 9:16 no audio
2026-09-03T18:52:22Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,2.0215,clip_sh09_rc1,480p 9:16 no audio
2026-09-03T18:52:22Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,2.0715,clip_sh10_rc1,480p 9:16 no audio
2026-09-03T18:52:22Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,2.1215,clip_sh13_rc1,480p 9:16 no audio
2026-09-03T18:52:22Z,higgsfield,video,seedance_2_0_mini,5.0,0.01,0.05,2.1715,clip_sh14_rc1,480p 9:16 no audio
2026-09-04T03:13:04Z,higgsfield,video,,8.0,0.01,0.08,2.2515,,stage6 clip sh17 seedance_2_0_mini 480p
2026-09-04T03:13:04Z,higgsfield,video,,12.0,0.01,0.12,2.3715,,stage6 clip sh18 seedance_2_0_mini 480p
2026-09-04T03:13:04Z,higgsfield,video,,5.0,0.01,0.05,2.4215,,stage6 clip sh19 seedance_2_0_mini 480p
2026-09-04T03:13:04Z,higgsfield,video,,8.0,0.01,0.08,2.5015,,stage6 clip sh20 seedance_2_0_mini 480p
2026-09-04T03:13:04Z,higgsfield,video,,8.0,0.01,0.08,2.5815,,stage6 clip sh21 seedance_2_0_mini 480p
2026-09-04T03:13:04Z,higgsfield,video,,10.0,0.01,0.1,2.6815,,stage6 clip sh22 seedance_2_0_mini 480p
2026-09-04T03:13:04Z,higgsfield,video,,5.0,0.01,0.05,2.7315,,stage6 clip sh23 seedance_2_0_mini 480p
